### DEBUG OUTPUT START ###
	CLUSTAL_ALL_FILE: /mnt/lfs/walt2178/Projects/rna-pipeline-python-qsub-staging/output/clustal/clustal_all
	CLUSTAL_ALIGNMENT_FILE: /mnt/lfs/walt2178/Projects/rna-pipeline-python-qsub-staging/output/clustal/clustal_all.aln
### DEBUG OUTPUT END ###
Running clustalw2
/mnt/lfs/walt2178/Projects/rna-pipeline-python-qsub-staging/scripts/clustal_run.sh: line 17: [: ==: unary operator expected
clustalw2 cmd: clustalw2 -align -type=DNA -infile=/mnt/lfs/walt2178/Projects/rna-pipeline-python-qsub-staging/output/clustal/clustal_all -outfile=/mnt/lfs/walt2178/Projects/rna-pipeline-python-qsub-staging/output/clustal/clustal_all.aln



 CLUSTAL 2.0.12 Multiple Sequence Alignments


Sequence type explicitly set to DNA
Sequence format is Pearson
Sequence 1: SEQ0000001  1475 bp
Sequence 2: SEQ0000002  1560 bp
Sequence 3: SEQ0000003  1508 bp
Sequence 4: SEQ0000004  1464 bp
Sequence 5: SEQ0000005  1373 bp
Sequence 6: SEQ0000006  1463 bp
Sequence 7: SEQ0000007  1410 bp
Sequence 8: SEQ0000008  1479 bp
Sequence 9: SEQ0000009  1424 bp
Sequence 10: SEQ0000010  1535 bp
Sequence 11: SEQ0000011  1544 bp
Sequence 12: SEQ0000012  1537 bp
Sequence 13: SEQ0000013  1527 bp
Sequence 14: SEQ0000014  1543 bp
Sequence 15: SEQ0000015  1494 bp
Sequence 16: SEQ0000016  1540 bp
Sequence 17: SEQ0000017  1503 bp
Sequence 18: SEQ0000018  1554 bp
Sequence 19: SEQ0000019  1513 bp
Sequence 20: SEQ0000020  1463 bp
Sequence 21: SEQ0000021  1775 bp
Sequence 22: SEQ0000022  1502 bp
Sequence 23: SEQ0000023  1502 bp
Sequence 24: SEQ0000024  1538 bp
Sequence 25: SEQ0000025  1553 bp
Sequence 26: SEQ0000026  1533 bp
Sequence 27: SEQ0000027  1465 bp
Sequence 28: SEQ0000028  1399 bp
Sequence 29: SEQ0000029  1587 bp
Sequence 30: SEQ0000030  1385 bp
Sequence 31: SEQ0000031  1562 bp
Sequence 32: SEQ0000032  1478 bp
Sequence 33: SEQ0000033  1526 bp
Sequence 34: SEQ0000034  1580 bp
Sequence 35: SEQ0000035  1520 bp
Sequence 36: SEQ0000036  1490 bp
Sequence 37: SEQ0000037  1552 bp
Sequence 38: SEQ0000038  1544 bp
Sequence 39: SEQ0000039  1480 bp
Sequence 40: SEQ0000040  1551 bp
Sequence 41: SEQ0000041  1002 bp
Sequence 42: SEQ0000042  1549 bp
Sequence 43: SEQ0000043  1355 bp
Sequence 44: SEQ0000044  1451 bp
Start of Pairwise alignments
Aligning...

Sequences (1:2) Aligned. Score:  68
Sequences (1:3) Aligned. Score:  62
Sequences (1:4) Aligned. Score:  67
Sequences (1:5) Aligned. Score:  64
Sequences (1:6) Aligned. Score:  67
Sequences (1:7) Aligned. Score:  63
Sequences (1:8) Aligned. Score:  68
Sequences (1:9) Aligned. Score:  68
Sequences (1:10) Aligned. Score:  64
Sequences (1:11) Aligned. Score:  63
Sequences (1:12) Aligned. Score:  65
Sequences (1:13) Aligned. Score:  67
Sequences (1:14) Aligned. Score:  64
Sequences (1:15) Aligned. Score:  65
Sequences (1:16) Aligned. Score:  69
Sequences (1:17) Aligned. Score:  64
Sequences (1:18) Aligned. Score:  69
Sequences (1:19) Aligned. Score:  63
Sequences (1:20) Aligned. Score:  66
Sequences (1:21) Aligned. Score:  70
Sequences (1:22) Aligned. Score:  67
Sequences (1:23) Aligned. Score:  61
Sequences (1:24) Aligned. Score:  67
Sequences (1:25) Aligned. Score:  63
Sequences (1:26) Aligned. Score:  63
Sequences (1:27) Aligned. Score:  61
Sequences (1:28) Aligned. Score:  64
Sequences (1:29) Aligned. Score:  73
Sequences (1:30) Aligned. Score:  62
Sequences (1:31) Aligned. Score:  73
Sequences (1:32) Aligned. Score:  67
Sequences (1:33) Aligned. Score:  68
Sequences (1:34) Aligned. Score:  68
Sequences (1:35) Aligned. Score:  67
Sequences (1:36) Aligned. Score:  65
Sequences (1:37) Aligned. Score:  64
Sequences (1:38) Aligned. Score:  63
Sequences (1:39) Aligned. Score:  67
Sequences (1:40) Aligned. Score:  69
Sequences (1:41) Aligned. Score:  58
Sequences (1:42) Aligned. Score:  57
Sequences (1:43) Aligned. Score:  61
Sequences (1:44) Aligned. Score:  59
Sequences (2:3) Aligned. Score:  80
Sequences (2:4) Aligned. Score:  87
Sequences (2:5) Aligned. Score:  85
Sequences (2:6) Aligned. Score:  87
Sequences (2:7) Aligned. Score:  87
Sequences (2:8) Aligned. Score:  78
Sequences (2:9) Aligned. Score:  77
Sequences (2:10) Aligned. Score:  74
Sequences (2:11) Aligned. Score:  74
Sequences (2:12) Aligned. Score:  75
Sequences (2:13) Aligned. Score:  74
Sequences (2:14) Aligned. Score:  74
Sequences (2:15) Aligned. Score:  75
Sequences (2:16) Aligned. Score:  75
Sequences (2:17) Aligned. Score:  72
Sequences (2:18) Aligned. Score:  76
Sequences (2:19) Aligned. Score:  75
Sequences (2:20) Aligned. Score:  76
Sequences (2:21) Aligned. Score:  71
Sequences (2:22) Aligned. Score:  74
Sequences (2:23) Aligned. Score:  72
Sequences (2:24) Aligned. Score:  72
Sequences (2:25) Aligned. Score:  73
Sequences (2:26) Aligned. Score:  70
Sequences (2:27) Aligned. Score:  74
Sequences (2:28) Aligned. Score:  74
Sequences (2:29) Aligned. Score:  71
Sequences (2:30) Aligned. Score:  74
Sequences (2:31) Aligned. Score:  73
Sequences (2:32) Aligned. Score:  76
Sequences (2:33) Aligned. Score:  74
Sequences (2:34) Aligned. Score:  73
Sequences (2:35) Aligned. Score:  75
Sequences (2:36) Aligned. Score:  73
Sequences (2:37) Aligned. Score:  71
Sequences (2:38) Aligned. Score:  73
Sequences (2:39) Aligned. Score:  73
Sequences (2:40) Aligned. Score:  74
Sequences (2:41) Aligned. Score:  69
Sequences (2:42) Aligned. Score:  65
Sequences (2:43) Aligned. Score:  74
Sequences (2:44) Aligned. Score:  72
Sequences (3:4) Aligned. Score:  83
Sequences (3:5) Aligned. Score:  85
Sequences (3:6) Aligned. Score:  83
Sequences (3:7) Aligned. Score:  86
Sequences (3:8) Aligned. Score:  74
Sequences (3:9) Aligned. Score:  74
Sequences (3:10) Aligned. Score:  73
Sequences (3:11) Aligned. Score:  73
Sequences (3:12) Aligned. Score:  73
Sequences (3:13) Aligned. Score:  73
Sequences (3:14) Aligned. Score:  71
Sequences (3:15) Aligned. Score:  70
Sequences (3:16) Aligned. Score:  73
Sequences (3:17) Aligned. Score:  70
Sequences (3:18) Aligned. Score:  75
Sequences (3:19) Aligned. Score:  70
Sequences (3:20) Aligned. Score:  75
Sequences (3:21) Aligned. Score:  71
Sequences (3:22) Aligned. Score:  69
Sequences (3:23) Aligned. Score:  71
Sequences (3:24) Aligned. Score:  73
Sequences (3:25) Aligned. Score:  71
Sequences (3:26) Aligned. Score:  68
Sequences (3:27) Aligned. Score:  71
Sequences (3:28) Aligned. Score:  72
Sequences (3:29) Aligned. Score:  70
Sequences (3:30) Aligned. Score:  71
Sequences (3:31) Aligned. Score:  71
Sequences (3:32) Aligned. Score:  73
Sequences (3:33) Aligned. Score:  71
Sequences (3:34) Aligned. Score:  73
Sequences (3:35) Aligned. Score:  72
Sequences (3:36) Aligned. Score:  69
Sequences (3:37) Aligned. Score:  70
Sequences (3:38) Aligned. Score:  71
Sequences (3:39) Aligned. Score:  71
Sequences (3:40) Aligned. Score:  73
Sequences (3:41) Aligned. Score:  68
Sequences (3:42) Aligned. Score:  65
Sequences (3:43) Aligned. Score:  71
Sequences (3:44) Aligned. Score:  70
Sequences (4:5) Aligned. Score:  88
Sequences (4:6) Aligned. Score:  87
Sequences (4:7) Aligned. Score:  88
Sequences (4:8) Aligned. Score:  78
Sequences (4:9) Aligned. Score:  75
Sequences (4:10) Aligned. Score:  78
Sequences (4:11) Aligned. Score:  78
Sequences (4:12) Aligned. Score:  78
Sequences (4:13) Aligned. Score:  78
Sequences (4:14) Aligned. Score:  77
Sequences (4:15) Aligned. Score:  75
Sequences (4:16) Aligned. Score:  78
Sequences (4:17) Aligned. Score:  75
Sequences (4:18) Aligned. Score:  80
Sequences (4:19) Aligned. Score:  75
Sequences (4:20) Aligned. Score:  75
Sequences (4:21) Aligned. Score:  77
Sequences (4:22) Aligned. Score:  77
Sequences (4:23) Aligned. Score:  73
Sequences (4:24) Aligned. Score:  76
Sequences (4:25) Aligned. Score:  76
Sequences (4:26) Aligned. Score:  74
Sequences (4:27) Aligned. Score:  74
Sequences (4:28) Aligned. Score:  73
Sequences (4:29) Aligned. Score:  75
Sequences (4:30) Aligned. Score:  74
Sequences (4:31) Aligned. Score:  79
Sequences (4:32) Aligned. Score:  76
Sequences (4:33) Aligned. Score:  77
Sequences (4:34) Aligned. Score:  76
Sequences (4:35) Aligned. Score:  78
Sequences (4:36) Aligned. Score:  73
Sequences (4:37) Aligned. Score:  74
Sequences (4:38) Aligned. Score:  75
Sequences (4:39) Aligned. Score:  76
Sequences (4:40) Aligned. Score:  80
Sequences (4:41) Aligned. Score:  68
Sequences (4:42) Aligned. Score:  70
Sequences (4:43) Aligned. Score:  73
Sequences (4:44) Aligned. Score:  71
Sequences (5:6) Aligned. Score:  88
Sequences (5:7) Aligned. Score:  87
Sequences (5:8) Aligned. Score:  78
Sequences (5:9) Aligned. Score:  73
Sequences (5:10) Aligned. Score:  76
Sequences (5:11) Aligned. Score:  77
Sequences (5:12) Aligned. Score:  76
Sequences (5:13) Aligned. Score:  77
Sequences (5:14) Aligned. Score:  76
Sequences (5:15) Aligned. Score:  76
Sequences (5:16) Aligned. Score:  78
Sequences (5:17) Aligned. Score:  73
Sequences (5:18) Aligned. Score:  79
Sequences (5:19) Aligned. Score:  76
Sequences (5:20) Aligned. Score:  77
Sequences (5:21) Aligned. Score:  72
Sequences (5:22) Aligned. Score:  73
Sequences (5:23) Aligned. Score:  75
Sequences (5:24) Aligned. Score:  76
Sequences (5:25) Aligned. Score:  76
Sequences (5:26) Aligned. Score:  69
Sequences (5:27) Aligned. Score:  71
Sequences (5:28) Aligned. Score:  73
Sequences (5:29) Aligned. Score:  73
Sequences (5:30) Aligned. Score:  71
Sequences (5:31) Aligned. Score:  75
Sequences (5:32) Aligned. Score:  75
Sequences (5:33) Aligned. Score:  75
